Lake,Year,Brown Bullhead,Bigmouth Buffalo,Black Bullhead,Black Crappie,Bluegill,Channel Catfish,Common Carp,Emerald Shiner,Freshwater Drum,Green Sunfish,Gizzard Shad,Hybrid Sunfish,Largemouth Bass,Northern Pike,Orangespotted Sunfish,Spotfin Shiner,Smallmouth Bass,Spottail Shiner,Walleye,White Bass,White Crappie,White Sucker,Yellow Bass,Yellow Perch,Yellow Bullhead
Blue,2017,0,0,0.25,0.25,26,0,50.5,0,0,0,0,0,6.75,0,0,0,0,0,0,0,0,0,0,0,0
Blue,2018,0,0,0,0,3.833333333,1.333333333,18.16666667,0,0,0,0,0,5.166666667,0,0,0,0,0,0,0,0,0,0,0,0
Blue,2019,0,0,0,0.25,15.5,0.25,15.25,0,0,0.25,0,0,11.25,0,0,0,0,0,0,0,0,0,0,0,0
Blue,2020,0,0,0.75,0.75,18.25,0.25,10.5,0,0,0.25,0,0,9,0.25,0,0,0,0,0,0,0,0,0,0,0
Center,2018,0,11.6,0,7.4,4.8,0,5.4,0,0.8,0,0,0,2.8,0,0,0,0.4,0,2.6,0,0.2,0,0,0.2,3.2
Center,2019,0.8,4.2,0,0.8,5.4,0,3.4,0,0.2,0,0,0,0.8,0,0,0,0,0,0.6,0,0,0,0.8,0,0
Center,2020,0,0.2,0,2.2,1.8,0,0.6,0,1.4,0,0,0,2.8,0,0,0,0.6,0,0.6,0,3.6,0,0,0,4.4
Five Island,2018,0,0.4,0,0,0.4,4.4,4.6,0,0,0,0,0,0.4,0,0,0,0,0,1,0,0,0,0,0,64.4
Five Island,2019,0,0.2,0,0,1,3.4,6,0,0,0,0,0,2.8,0,0,0,0,0,0.6,0,0,0,10.4,1,0
Five Island,2020,0,0.6,0,0.2,0.8,1.2,1,0,0,0,0,0,0.8,0.2,0,0,0,0,0.2,0,0,0,0,1,8.4
North Twin,2018,0,1.75,0.25,0.25,0.5,0,5.5,0,0.5,0,0,0,0,0,0,0,0,0,0.25,0,1,0,0,0,0.75
North Twin,2019,0,2.375,0,0,1.875,0.625,4,0,2.5,0,0,0,0,0,0,0.25,0,0,0.375,0.125,0.375,0,36.375,0.125,0
North Twin,2020,0,0,3.25,0,0.75,0,0.75,0,2.75,0.5,0,0.25,0.5,0,0,0,0,0,1,0,3.5,0,0.25,0,41.25
Silver,2018,0,16.5,0,0,0,0.166666667,4.833333333,0,2,0,0,0,0,0,0,0,0,0,3.5,0,0,0.333333333,0,0,0.5
Silver,2019,0,2.333333333,0,0,0,0,3.5,0,0,0,0,0,0.333333333,0.333333333,0,0,0,0,3.5,1,0,0,7.666666667,0.166666667,0
Silver,2020,0,0,0,0,0.666666667,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0.666666667,0,0,0,0,0.333333333,0
South Twin,2018,0,0.545454545,16.09090909,0.090909091,0.181818182,0,6,0,0.363636364,0,0,0,0,0,0.454545455,0,0,0,0.090909091,0,1.727272727,0,0.090909091,0,0.818181818
South Twin,2019,0.4,44.6,7,0,0,0,3.4,0,0,0,0,0,0,0,0.2,0,0,0,0.6,0,0.2,0,1.6,0.2,0
South Twin,2020,0,31.75,7.25,0,0.5,0,1.75,0,2,0,0,0,0,0,0,0,0,0,0,0,0.25,0,2.25,0,4.75
Storm,2018,0,0,0,0.166666667,0,0.833333333,3.833333333,0,0,0.166666667,0.166666667,0,0.166666667,0,0,0,0,0,1.166666667,0,0,0.333333333,0,0,1.666666667
Storm,2019,0,0.428571429,0,0,0.142857143,0.428571429,3.285714286,0.142857143,0,0,4.571428571,0,0,0,0,0,0.142857143,0.285714286,0.714285714,8.857142857,0,0.142857143,0,0.285714286,0
Storm,2020,0,0.083333333,0,0,1.083333333,0.166666667,3.166666667,6.25,0,0.083333333,0,0,1.666666667,0,0.083333333,0,0,1.333333333,1.5,3.083333333,0.083333333,0.083333333,0.416666667,2,0
South Twin,2017,24,2,0,0,1,0,102,0,1,0,0,0,0,0,16,0,0,0,0,0,9,0,1,0,2
Five Island,2017,0,0.8,0,2.4,29.6,79.2,45.6,0,0,0,0,0,16,0,0.8,0,0,0,15.2,0,20.8,0,0,0,179.2
Storm,2017,0,0,0,0,3.333333333,18,32.66666667,0,0,2,20.66666667,0,0.666666667,0,0,0,0,0,10.66666667,15.33333333,10.66666667,1.333333333,0,4,0
