year,lake,outlierpres,n,slope,slp_se,slp_l95ci,slp_u95ci,intcpt,int_se,int_l95ci,int_u95CI,height,height.l95ci,height.u95ci,height.overall
2018,Blue,N,13,-0.730105077,0.123958869,-1.002936708,-0.457273447,0.516645927,2.31166245,-4.571288821,5.604580676,13.59650577,13.39635991,13.79665162,12.92843224
2018,Center,N,22,-0.31466682,0.091139453,-0.504780388,-0.124553252,7.790548272,2.001547694,3.615392945,11.9657036,13.58514956,12.91094271,14.25935641,13.13988421
2018,Five.Island,N,24,-0.457343324,0.073333706,-0.609428122,-0.305258526,4.687436777,1.480537998,1.616988897,7.757884657,12.88075958,12.53491656,13.2266026,12.46227329
2018,North.Twin,N,17,-0.547042333,0.095407947,-0.750399558,-0.343685108,3.216158791,1.960982882,-0.963577282,7.395894863,13.8370062,13.60545828,14.06855411,12.51587845
2018,Silver,N,25,-0.397285087,0.099270092,-0.602640919,-0.191929255,4.990579914,1.876795993,1.108131601,8.873028227,12.10795714,11.90446626,12.31144802,11.74442639
2018,South.Twin,Y,21,-0.623099208,0.103815478,-0.8403875,-0.405810915,2.637339673,2.179094744,-1.923558043,7.198237389,14.73483416,14.39259679,15.07707153,13.2300262
2018,Storm,N,28,-0.470087465,0.083242832,-0.641195556,-0.298979373,4.765493683,1.753284861,1.161565036,8.36942233,12.95208451,12.3280097,13.57615932,12.75698058
2019,Blue,N,17,-0.758814607,0.111148181,-0.995721347,-0.521907866,-1.18900476,2.182482218,-5.840855493,3.462845972,12.78459468,12.49539046,13.0737989,11.71084356
2019,Center,Y,19,-0.350740511,0.092938097,-0.546822755,-0.154658266,7.258987087,1.961926855,3.119683246,11.39829093,13.54251649,12.91603342,14.16899956,13.22157577
2019,Five.Island,Y,14,-0.394202715,0.12181619,-0.659617393,-0.128788037,7.333543048,2.768425237,1.301662624,13.36542347,14.39569947,13.11873295,15.67266598,14.0349892
2019,North.Twin,Y,16,-0.396137325,0.113140336,-0.638799211,-0.153475438,6.871950338,2.490748748,1.52982558,12.2140751,14.16683403,13.29333701,15.04033104,13.60628486
2019,Silver,Y,15,-0.746914263,0.130909465,-1.029726969,-0.464101558,-0.668051852,2.121880637,-5.252096274,3.915992569,12.33948805,12.6806375,11.9983386,12.02949062
2019,South.Twin,Y,21,-0.613075019,0.090441779,-0.802371838,-0.423778199,1.963626649,1.970575561,-2.1608354,6.088088699,13.86650113,13.41724392,14.31575833,12.38590197
2019,Storm,N,20,-0.446733164,0.07097095,-0.595837597,-0.297628731,3.938560465,1.433959465,0.92592342,6.95119751,12.16516844,11.89829512,12.43204176,11.53302426
2020,Blue,N,16,-0.752293231,0.126041006,-1.022624304,-0.481962159,-1.200502584,2.621590335,-6.823254635,4.422249467,12.27685887,11.49709812,13.05661961,11.58848235
2020,Center,N,20,-0.574512482,0.112076507,-0.809976486,-0.339048478,1.384310637,2.410073052,-3.679064957,6.447686231,12.25123578,11.64167065,12.86080092,11.15102283
2020,Five.Island,N,25,-0.636069556,0.076282753,-0.793872454,-0.478266657,0.828827347,1.593528491,-2.467637493,4.125292186,11.90600251,11.35768106,12.45432396,11.64200979
2020,North.Twin,N,18,-0.667147208,0.158006463,-1.002105946,-0.332188469,0.810020794,3.408124141,-6.414879632,8.03492122,14.09628245,13.54209787,14.65046704,12.15152333
2020,Silver,N,23,-0.611808765,0.085717103,-0.790067239,-0.433550291,0.828819497,1.709263608,-2.725788765,4.38342776,11.1775877,10.6382282,11.71694719,11.2295685
2020,South.Twin,Y,16,-0.54257113,0.112722548,-0.784336951,-0.300805309,3.655799972,2.384143598,-1.457679479,8.769279423,14.18983881,13.77025184,14.60942579,12.87950919
2020,Storm,Y,21,-0.369754478,0.054972205,-0.484812626,-0.25469633,5.285966684,1.145037774,2.889375079,7.682558288,11.35550031,10.84759251,11.8634081,11.57179281
