year,lake,season,outlierpres,n,fitmin,fitmax,slope,slp_se,slp_l95ci,slp_u95ci,intcpt,int_se,int_l95ci,int_u95CI,height,height.l95ci,height.u95ci,height.overall
2018,Blue,summer,N,13,-29.415037499278842,-4.415037499278844,-0.6696590394985539,0.10660303894215843,-0.9042907462309157,-0.4350273327661921,1.9588470509830063,1.9727379920316026,-2.383119994227529,6.300814096193541,13.286154815832097,12.912991888519256,13.659317743144936,12.338562163210591
2018,Center,summer,N,23,-30.415037499278842,-6.415037499278844,-0.3544585141972449,0.09530525864362004,-0.5526566495478695,-0.15626037884662028,6.718190596031719,2.066974916190827,2.4196809436164397,11.016700248446998,13.245557426912645,12.596873869266263,13.89424098455903,12.212297566089015
2018,Five.Island,summer,N,24,-29.415037499278842,-6.415037499278844,-0.4573433242447015,0.07333370607639303,-0.6094281222461227,-0.3052585262432802,4.687436777119978,1.480537997804543,1.6169888974645872,7.757884656775369,12.880759581008647,12.534916560618967,13.226602601398328,11.77625830291285
2019,North.Twin,summer,N,18,-29.415037499278842,-6.415037499278844,-0.5585876319276808,0.10165134544453233,-0.7740788578085152,-0.34309640604684644,3.008299263676393,2.125016528801046,-1.4965345366616991,7.513133064014486,13.015417636294163,12.371117228376786,13.659718044211541,11.666407558555447
2019,Silver,summer,Y,16,-23.415037499278846,-0.4150374992788438,-0.5899144931500793,0.1263489186778927,-0.8609059719632327,-0.3189230143369258,2.000601819890589,1.9829718997671357,-2.2524499132450417,6.253653553026219,10.799198606592093,10.587994941939673,11.010402271244512,11.144276463716817
2019,South.Twin,summer,Y,22,-29.415037499278842,-4.415037499278844,-0.4882796470679305,0.08388468460284379,-0.6632600329348883,-0.3132992612009726,4.474999481623792,1.8556134620648825,0.6042576275019829,8.3457413357456,12.734268021912474,11.823325956368539,13.645210087456409,12.043334011176714
2020,Blue,summer,N,17,-28.415037499278842,-6.415037499278844,-0.7538663839579339,0.12265067856792326,-1.015290117054132,-0.49244265086173583,-1.4014949710914109,2.5033984066287145,-6.737362367255249,3.9343724250724272,11.72711637498175,10.943953093889663,12.510279656073834,10.283433980256564
2020,Center,summer,N,21,-29.415037499278842,-8.415037499278844,-0.6348416359118836,0.11541076840928151,-0.8763991503302564,-0.39328412149351083,-0.12474332583815236,2.445412930458602,-5.243051412249119,4.993564760572814,11.883310023538652,11.334071380583794,12.432548666493506,9.715302030796044
2020,Five.Island,summer,N,25,-28.415037499278842,-6.415037499278844,-0.6360695556675722,0.07628275335579889,-0.7938724539407647,-0.4782666573943796,0.8288273465527638,1.593528490517233,-2.4676374927752884,4.1252921858808165,11.906002510653163,11.357681062247643,12.454323959058684,10.687905459400133
2018,North.Twin,summer,N,18,-30.415037499278842,-8.415037499278844,-0.5850084661544408,0.1038020025072172,-0.8050588813392685,-0.3649580509696131,2.170951901097815,2.103182161122276,-2.287595107492908,6.629498909688538,13.528913208881882,13.342653262836466,13.715173154927296,11.238583126491648
2018,Silver,summer,N,26,-29.415037499278842,-0.4150374992788438,-0.38118367715364504,0.08542649679338175,-0.5574953010104268,-0.2048720532968633,5.299329708183559,1.5837212890569814,2.030689617679173,8.567969798687946,10.984698547043173,10.345752937921434,11.623644156164916,11.207676704065058
2018,South.Twin,summer,Y,22,-29.415037499278842,-9.415037499278844,-0.6652119776210302,0.10426204582909923,-0.8826987941576896,-0.4477251610843708,1.6104917300549586,2.162028619168518,-2.8994209414732612,6.120404401583178,14.525607220536699,14.238209247666498,14.813005193406898,11.921277383180927
2019,Blue,summer,N,18,-29.415037499278842,-4.415037499278844,-0.7291759474867238,0.10136311592101142,-0.9440561540732542,-0.5142957409001934,-0.6250060096034278,1.9572189182156097,-4.774124766064789,3.524112746857934,11.709032485706684,11.19462048150927,12.2234444899041,10.67722117644079
2019,Center,summer,N,21,-29.415037499278842,-6.415037499278844,-0.49424915266625075,0.12334163706192923,-0.7524061659469681,-0.23609213938553347,3.6282661592216585,2.529895272373638,-1.6668655009902271,8.923397819433545,12.482758263224333,11.812519176638325,13.152997349810345,11.289128025548544
2019,Five.Island,summer,Y,14,-29.415037499278842,-11.415037499278844,-0.39420271490124703,0.12181619013730709,-0.6596173928335942,-0.12878803696889984,7.3335430481198545,2.7684252367550135,1.3016626243034963,13.365423471936213,14.395699467893222,13.118732952093879,15.672665983692564,13.443685129089182
2020,North.Twin,summer,N,19,-29.415037499278842,-10.415037499278844,-0.7487353776539856,0.16325962259899227,-1.0931830726445275,-0.40428768266344356,-1.2454148985867746,3.4697732181232013,-8.565996485731942,6.075166688558392,13.665678224429053,13.20478539956069,14.126571049297414,10.359983455050001
2020,Silver,summer,N,23,-28.415037499278842,-5.415037499278844,-0.6118087649816891,0.08571710282324274,-0.7900672387428509,-0.4335502912205274,0.8288194971672317,1.7092636075617051,-2.725788765407271,4.383427759741735,11.177587699219979,10.638228204879741,11.716947193560218,10.311855354383413
2020,South.Twin,summer,Y,18,-29.415037499278842,-9.415037499278844,-0.5372554243992049,0.1097826999064171,-0.7699843516936352,-0.30452649710477464,3.2701428953220284,2.3364605518250183,-1.6829322099132438,8.223218000557301,13.700977106723562,13.266342852076592,14.13561136137053,11.597601973509704
